id,common_name,scientific_name,price,category,image_url,family,care_level,watering,sunlight,hardiness_min,hardiness_max,description
1,Swiss cheese plant,Monstera deliciosa,$42.00,Interior,https://images.unsplash.com/photo-1653404809389-f370ea4310dd,Araceae,Average,Average,Part shade,18°C,27°C,Popular tropical plant with iconic split leaves
2,Fiddle-leaf fig,Ficus lyrata,$55.00,Rare Finds,https://images.unsplash.com/photo-1580133318324-f2f76d987dd8,Moraceae,Average,Average,Part shade,18°C,27°C,Statement plant with large violin-shaped leaves
3,Rubber fig,Ficus elastica,$38.00,Air Purifying,https://images.unsplash.com/photo-1623032693199-e9abd35e0a98,Moraceae,Average,Average,Part shade,18°C,27°C,Easy-care plant with glossy dark leaves
4,Golden pothos,Epipremnum aureum,$22.00,Beginner Friendly,https://images.unsplash.com/photo-1696457848618-876c47b30cfd,Araceae,Average,Average,Part shade,18°C,27°C,Trailing vine perfect for beginners
5,Snake plant,Dracaena trifasciata,$28.00,Low Light,https://images.unsplash.com/photo-1613498630970-f2a333cb4974,Asparagaceae,Average,Minimum,Part shade,15°C,25°C,Extremely hardy succulent-like plant
6,Peace lily,Spathiphyllum wallisii,$32.00,Air Purifying,https://images.unsplash.com/photo-1707264689599-f4ab29ccbb1d,Araceae,Average,Average,Part shade,18°C,27°C,Elegant white flowers with air purifying qualities
7,Spider plant,Chlorophytum comosum,$18.00,Hanging Plants,https://images.unsplash.com/photo-1616668713144-3dd6bd1cad86,Asparagaceae,Average,Average,Part shade,15°C,25°C,Easy-care hanging plant with baby plantlets
8,Aloe vera,Aloe vera,$16.00,Succulents,https://images.unsplash.com/photo-1643717101835-ea24088aef16,Asphodelaceae,Minimum,Minimum,Full sun,10°C,30°C,Medicinal succulent with healing properties
9,Jade plant,Crassula ovata,$24.00,Succulents,https://images.unsplash.com/photo-1597334133882-7027ac9bd95e,Crassulaceae,Minimum,Minimum,Full sun,10°C,30°C,Lucky succulent with thick rounded leaves
10,ZZ plant,Zamioculcas zamiifolia,$36.00,Low Light,https://images.unsplash.com/photo-1536882240095-0379873feb4e,Araceae,Average,Average,Part shade,18°C,27°C,Nearly indestructible with glossy leaves
11,Chinese money plant,Pilea peperomioides,$26.00,Beginner Friendly,https://images.unsplash.com/photo-1728297523666-ebbd1698083c,Urticaceae,Average,Average,Part shade,18°C,27°C,Round coin-shaped leaves on delicate stems
12,Peacock plant,Goeppertia makoyana,$44.00,Rare Finds,https://images.unsplash.com/photo-1616276595426-81d5a3cfc772,Marantaceae,Average,Average,Part shade,18°C,27°C,Stunning patterned leaves with movement
13,English ivy,Hedera helix,$20.00,Hanging Plants,https://images.unsplash.com/photo-1708166993453-1ea2c86c7c01,Araliaceae,Average,Average,Part shade,15°C,25°C,Classic trailing vine for hanging baskets
14,Dragon tree,Dracaena marginata,$48.00,Interior,https://images.unsplash.com/photo-1769184614135-f2e714e17230,Asparagaceae,Average,Average,Part shade,15°C,25°C,Architectural plant with spiky red-edged leaves
15,Chinese evergreen,Aglaonema commutatum,$34.00,Low Light,https://images.unsplash.com/photo-1568151492546-1db658d0fc42,Araceae,Average,Average,Part shade,18°C,27°C,Variegated leaves in low light conditions
16,Inch plant,Tradescantia zebrina,$19.00,Hanging Plants,https://images.unsplash.com/photo-1587398411636-48f716ba0b54,Commelinaceae,Average,Average,Part shade,15°C,25°C,Purple and silver striped trailing plant
17,Baby rubberplant,Peperomia obtusifolia,$22.00,Beginner Friendly,https://images.unsplash.com/photo-1719854800255-0b18066bd67c,Piperaceae,Average,Average,Part shade,18°C,27°C,Compact plant with thick glossy leaves
18,Arrowhead plant,Syngonium podophyllum,$25.00,Interior,https://images.unsplash.com/photo-1606979608471-6478324d9097,Araceae,Average,Average,Part shade,18°C,27°C,Arrow-shaped leaves that change with age
19,Heartleaf philodendron,Philodendron hederaceum,$27.00,Beginner Friendly,https://images.unsplash.com/photo-1758153694189-33866902d68a,Araceae,Average,Average,Part shade,18°C,27°C,Classic vine with heart-shaped leaves
20,Christmas cactus,Schlumbergera truncata,$21.00,Succulents,https://images.unsplash.com/photo-1745688713223-7fc1b37381e8,Cactaceae,Minimum,Minimum,Full sun,10°C,30°C,Holiday bloomer with colorful flowers
21,Poinsettia,Euphorbia pulcherrima,$18.00,Interior,https://images.unsplash.com/photo-1708794897552-926bee3d98ae,Euphorbiaceae,Minimum,Minimum,Full sun,10°C,30°C,Festive red bracts for winter season
22,Moth orchid,Phalaenopsis aphrodite,$52.00,Rare Finds,https://images.unsplash.com/photo-1716878271671-0076fa53fecd,Orchidaceae,Average,Average,Part shade,15°C,25°C,Elegant long-lasting orchid flowers
23,Flamingo flower,Anthurium andraeanum,$46.00,Air Purifying,https://images.unsplash.com/photo-1704113972939-b7dca1235da6,Araceae,Average,Average,Part shade,18°C,27°C,Glossy red heart-shaped flowers
24,Polka dot begonia,Begonia maculata,$58.00,Rare Finds,https://images.unsplash.com/photo-1663647733214-3286521f6660,Begoniaceae,Average,Average,Part shade,15°C,25°C,Silver spotted leaves with red undersides
25,African mask,Alocasia amazonica,$64.00,Rare Finds,https://images.unsplash.com/photo-1759520277895-69185ef95e4f,Araceae,Average,Average,Part shade,18°C,27°C,Bold arrow-shaped leaves with white veins
26,Nerve plant,Fittonia albivenis,$17.00,Pet Friendly,https://images.unsplash.com/photo-1751147465529-34222ac0ab4a,Acanthaceae,Average,Average,Part shade,15°C,25°C,Small plant with intricate vein patterns
27,Prayer plant,Maranta leuconeura,$29.00,Interior,https://images.unsplash.com/photo-1677747639865-f95f16ec976c,Marantaceae,Average,Average,Part shade,18°C,27°C,Leaves fold up at night like praying hands
28,Ponytail palm,Beaucarnea recurvata,$45.00,Beginner Friendly,https://images.unsplash.com/photo-1661233319632-b0e21ee46f81,Asparagaceae,Minimum,Minimum,Full sun,10°C,30°C,Drought-tolerant with swollen trunk base
29,Spineless yucca,Yucca elephantipes,$52.00,Low Light,https://images.unsplash.com/photo-1623859342982-1a5001a1f17d,Asparagaceae,Minimum,Minimum,Full sun,10°C,30°C,Architectural plant with sword-like leaves
30,Norfolk Island pine,Araucaria heterophylla,$58.00,Interior,https://images.unsplash.com/photo-1730366784712-79647d2e4154,Araucariaceae,Average,Average,Part shade,15°C,25°C,Symmetrical miniature pine tree for indoors
31,Parlor palm,Chamaedorea elegans,$38.00,Air Purifying,https://images.unsplash.com/photo-1687269111857-3b398711c2f4,Arecaceae,Average,Average,Part shade,16°C,28°C,Compact palm perfect for small spaces
32,Areca palm,Dypsis lutescens,$62.00,Air Purifying,https://images.unsplash.com/photo-1598531403144-43fdb36c9ae8,Arecaceae,Average,Average,Part shade,16°C,28°C,Elegant feathery fronds for bright spaces
33,Lady palm,Rhapis excelsa,$68.00,Interior,https://images.unsplash.com/photo-1731831337181-3ce6a6f39e02,Arecaceae,Average,Average,Part shade,16°C,28°C,Fan-shaped leaves on bamboo-like stems
34,Kentia palm,Howea forsteriana,$72.00,Rare Finds,https://images.unsplash.com/photo-1652954352097-29f2d0526f08,Arecaceae,Average,Average,Part shade,16°C,28°C,Graceful arching fronds for elegant spaces
35,Boston fern,Nephrolepis exaltata,$24.00,Hanging Plants,https://images.unsplash.com/photo-1704869727879-25ed3c235e7d,Nephrolepidaceae,Frequent,Frequent,Part shade,15°C,24°C,Lush cascading fronds for humid conditions
36,Bird's nest fern,Asplenium nidus,$32.00,Air Purifying,https://images.unsplash.com/photo-1740643059108-5e93b2a56719,Aspleniaceae,Frequent,Frequent,Part shade,15°C,24°C,Rosette of glossy undulating fronds
37,Delta maidenhair fern,Adiantum raddianum,$28.00,Pet Friendly,https://images.unsplash.com/photo-1762952318948-51fec88f6a7f,Pteridaceae,Frequent,Frequent,Part shade,15°C,24°C,Delicate lacy fronds on black stems
38,Staghorn fern,Platycerium bifurcatum,$48.00,Rare Finds,https://images.unsplash.com/photo-1667715318212-7dbf21da371f,Polypodiaceae,Frequent,Frequent,Part shade,15°C,24°C,Unique antler-shaped fronds mounted display
39,African violet,Saintpaulia ionantha,$15.00,Pet Friendly,https://images.unsplash.com/photo-1680272144322-09f005585f15,Gesneriaceae,Average,Average,Part shade,15°C,25°C,Compact flowering plant with fuzzy leaves
40,Persian cyclamen,Cyclamen persicum,$21.00,Interior,https://images.unsplash.com/photo-1607518066388-d2f19343931b,Primulaceae,Average,Average,Part shade,15°C,25°C,Butterfly-like flowers in cool months
41,Flaming katy,Kalanchoe blossfeldiana,$19.00,Succulents,https://images.unsplash.com/photo-1681769689116-252ac9081af8,Crassulaceae,Minimum,Minimum,Full sun,10°C,30°C,Succulent with clusters of bright flowers
42,Coleus,Solenostemon scutellarioides,$16.00,Interior,https://images.unsplash.com/photo-1641100710199-7f841ee78d44,Lamiaceae,Average,Average,Part shade,15°C,25°C,Vibrant multicolored foliage plant
43,Croton,Codiaeum variegatum,$35.00,Rare Finds,https://images.unsplash.com/photo-1641906101577-58759637055b,Euphorbiaceae,Minimum,Minimum,Full sun,10°C,30°C,Tropical with bold multicolored leaves
44,Dwarf umbrella tree,Schefflera arboricola,$42.00,Interior,https://images.unsplash.com/photo-1639714795430-f96b8957a793,Araliaceae,Average,Average,Part shade,15°C,25°C,Compact tree with glossy umbrella leaves
45,Paper plant,Fatsia japonica,$39.00,Low Light,https://images.unsplash.com/photo-1604305086821-05e8322c8d87,Araliaceae,Average,Average,Part shade,15°C,25°C,Bold palmate leaves for shaded areas
46,Cast iron plant,Aspidistra elatior,$33.00,Low Light,https://images.unsplash.com/photo-1718443447370-73996990f61b,Asparagaceae,Average,Average,Part shade,15°C,25°C,Nearly indestructible low-light survivor
47,Porcelainflower,Hoya carnosa,$41.00,Hanging Plants,https://images.unsplash.com/photo-1769346442881-b63ba7476b77,Apocynaceae,Average,Average,Part shade,15°C,25°C,Waxy leaves with fragrant star flowers
48,String of pearls,Senecio rowleyanus,$26.00,Succulents,https://images.unsplash.com/photo-1648070024741-43f8fa965966,Asteraceae,Minimum,Minimum,Full sun,10°C,30°C,Trailing succulent with bead-like leaves
49,String of hearts,Ceropegia woodii,$30.00,Hanging Plants,https://images.unsplash.com/photo-1762008085205-19e90e73611a,Apocynaceae,Average,Average,Part shade,15°C,25°C,Delicate trailing vine with heart leaves
50,Spanish moss,Tillandsia usneoides,$12.00,Air Purifying,https://images.unsplash.com/photo-1653764921246-cf5c91b32c6a,Bromeliaceae,Average,Average,Part shade,15°C,25°C,Epiphytic air plant with silvery strands
51,Boston ivy,Parthenocissus tricuspidata,$23.00,Hanging Plants,https://images.unsplash.com/photo-1656942599833-1c34a23bea78,Vitaceae,Average,Average,Part shade,15°C,25°C,Classic climbing vine with seasonal color
52,English lavender,Lavandula angustifolia,$19.00,Air Purifying,https://images.unsplash.com/photo-1656634675770-1eb2ead69987,Lamiaceae,Minimum,Minimum,Full sun,10°C,25°C,Aromatic purple flowers for calm spaces
